,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_length,annual_inc,loan_status,dti,delinq_2yrs,fico_avg,inq_last_6mths,delinq_flag,open_acc,pub_rec,revol_bal,revol_util,total_acc,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_amnt,collections_12_mths_ex_med,acc_now_delinq,tot_coll_amt,tot_cur_bal,total_rev_hi_lim,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,home_ownership_OWN,home_ownership_RENT,verification_status_Source Verified,verification_status_Verified
0,20000.0,20000.0,20000.0,36,13.99,683.46,2,12,10.0,65000.0,0,13.68,0.0,707.0,2.0,0,11.0,0.0,12275.0,0.649,25.0,0.0,0.0,23036.9510250346,23036.95,20000.0,3036.95,0.0,0.0,0.0,7548.97,0.0,0.0,0.0,735334.0,18900.0,9.0,66849.0,6146.0,0.649,14.0,2.0,3.0,0.0,3.0,5.0,3.0,7.0,9.0,5.0,13.0,5.0,11.0,0.0,2.0,100.0,66.7,0.0,0.0,759411.0,27732.0,17500.0,23245.0,False,False,False,False
1,7000.0,7000.0,7000.0,36,9.16,223.12,1,6,-1.0,35000.0,0,22.39,0.0,712.0,0.0,1,10.0,0.0,8348.0,0.273,29.0,0.0,0.0,7382.048097729301,7382.05,7000.0,382.05,0.0,0.0,0.0,6050.45,0.0,0.0,0.0,28344.0,30600.0,6.0,3543.0,10852.0,0.435,4.0,4.0,1.0,0.0,4.0,4.0,4.0,12.0,9.0,9.0,19.0,4.0,10.0,0.0,4.0,96.6,25.0,0.0,0.0,53672.0,28344.0,19200.0,23072.0,True,False,False,True
2,20000.0,20000.0,20000.0,36,8.67,632.93,1,5,10.0,90000.0,0,29.14,1.0,667.0,0.0,1,22.0,0.0,25642.0,0.6970000000000001,39.0,0.0,0.0,22772.9061479841,22772.91,20000.0,2772.91,0.0,0.0,0.0,6.7,0.0,0.0,323.0,396335.0,36800.0,5.0,18015.0,5132.0,0.8190000000000001,12.0,12.0,4.0,0.0,14.0,18.0,14.0,19.0,10.0,18.0,24.0,18.0,22.0,0.0,1.0,89.7,57.1,0.0,0.0,434045.0,47232.0,28300.0,32219.0,False,False,True,False
3,16000.0,16000.0,16000.0,36,14.46,550.43,2,13,5.0,50000.0,0,34.64,4.0,662.0,0.0,1,9.0,0.0,33208.0,0.405,25.0,0.0,0.0,17595.5359081936,17595.54,16000.0,1595.54,0.0,0.0,0.0,13217.81,1.0,0.0,60.0,81483.0,82000.0,2.0,9054.0,43792.0,0.431,15.0,15.0,0.0,0.0,5.0,5.0,6.0,14.0,7.0,7.0,18.0,5.0,9.0,0.0,0.0,84.0,33.3,0.0,0.0,155587.0,81483.0,77000.0,73587.0,True,False,True,False
4,4000.0,4000.0,4000.0,36,11.53,131.97,1,9,2.0,85000.0,0,24.27,0.0,702.0,0.0,1,7.0,0.0,91178.0,0.852,19.0,0.0,0.0,4184.07,4184.07,4000.0,184.07,0.0,0.0,0.0,3657.48,0.0,0.0,0.0,316030.0,94500.0,3.0,45147.0,4006.0,0.6100231578947369,7.0,7.0,2.0,3.0,0.0,3.0,0.0,4.0,4.0,5.0,12.0,3.0,6.0,0.0,2.0,73.7,46.72442105263158,0.0,0.0,329177.0,91411.0,0.0,0.0,False,False,False,True
5,10950.0,10950.0,10950.0,36,15.59,382.76,3,15,10.0,38000.0,0,19.68,0.0,692.0,0.0,1,11.0,0.0,9981.0,0.545,25.0,0.0,0.0,13815.1726727055,13815.17,10950.0,2865.17,0.0,0.0,0.0,382.62,0.0,0.0,0.0,116140.0,18300.0,1.0,11614.0,6783.0,0.5760000000000001,97.0,9.0,2.0,1.0,5.0,8.0,5.0,10.0,2.0,9.0,20.0,8.0,11.0,0.0,1.0,60.0,40.0,0.0,0.0,162200.0,18255.0,16000.0,10000.0,False,False,False,False
6,10000.0,10000.0,10000.0,36,6.89,308.27,0,2,10.0,43000.0,0,15.02,0.0,747.0,0.0,0,8.0,0.0,4966.0,0.49700000000000005,34.0,0.0,0.0,11093.821433726,11093.82,10000.0,1093.82,0.0,0.0,0.0,308.2,0.0,0.0,58.0,98169.0,10000.0,0.0,14024.0,5034.0,0.49700000000000005,45.0,29.0,2.0,0.0,2.0,2.0,2.0,7.0,12.0,3.0,20.0,2.0,8.0,0.0,0.0,100.0,0.0,0.0,0.0,120289.0,31611.0,10000.0,34246.0,False,False,False,True
7,6500.0,6500.0,6500.0,36,9.99,209.71,1,7,3.0,36000.0,0,6.8,0.0,682.0,0.0,1,6.0,1.0,8706.0,0.708,26.0,0.0,0.0,7498.4076836391005,7498.41,6500.0,998.41,0.0,0.0,0.0,121.3,0.0,0.0,0.0,38336.0,12300.0,2.0,6389.0,617.0,0.922,3.0,3.0,0.0,1.0,2.0,4.0,2.0,3.0,19.0,5.0,7.0,4.0,6.0,0.0,1.0,96.2,100.0,0.0,1.0,37576.0,38336.0,7900.0,25276.0,True,False,True,False
8,7500.0,7500.0,7500.0,36,19.52,276.9,3,18,10.0,75000.0,0,22.53,0.0,667.0,2.0,1,12.0,0.0,6304.0,0.41700000000000004,25.0,0.0,0.0,9112.0499991943,9112.05,7500.0,1612.05,0.0,0.0,0.0,2405.33,0.0,0.0,385.0,52155.0,15100.0,7.0,4346.0,2190.0,0.647,3.0,3.0,0.0,1.0,4.0,7.0,5.0,6.0,15.0,9.0,10.0,7.0,12.0,0.0,4.0,83.0,20.0,0.0,0.0,78110.0,52155.0,6200.0,63010.0,False,True,False,False
9,4600.0,4600.0,4600.0,36,24.99,182.88,5,28,3.0,38000.0,0,36.39,3.0,672.0,3.0,1,6.0,0.0,4688.0,0.442,28.0,0.0,0.0,5882.86,5882.86,4600.0,1282.86,0.0,0.0,0.0,3149.24,0.0,0.0,0.0,18365.0,10600.0,5.0,3673.0,861.0,0.569,3.0,3.0,0.0,1.0,1.0,2.0,1.0,5.0,11.0,4.0,17.0,2.0,5.0,0.0,3.0,78.6,0.0,0.0,0.0,25021.0,18365.0,2000.0,14421.0,False,True,False,False
